Sample-#, CA-V, CA-I, CB-V, CB-I 
227, 0.558480203152, 0.000585088098887, 0.24216067791, 0.00117256049998
228, 0.562371253967, 0.000592717609834, 0.242389559746, 0.00116493098903
229, 0.564889013767, 0.000684271741193, 0.242542147636, 0.00127937365323
230, 0.566948950291, 0.000653753697407, 0.242771044374, 0.00123359658755
231, 0.5693141222, 0.000607976631727, 0.242999926209, 0.00115730147809
232, 0.571450352669, 0.00062323565362, 0.243381395936, 0.00128700316418
233, 0.574502170086, 0.000562199566048, 0.243610277772, 0.00124885560945
234, 0.576409578323, 0.000562199566048, 0.243762880564, 0.00121070805471
235, 0.579156160355, 0.000493533967528, 0.243610277772, 0.00123359658755
236, 0.581292450428, 0.00062323565362, 0.243915468454, 0.00130226218607
237, 0.584649443626, 0.000676642230246, 0.24414435029, 0.00115730147809
238, 0.586327910423, 0.000539311033208, 0.244220644236, 0.00136329827365
239, 0.588235318661, 0.0006690127193, 0.244296938181, 0.00118019001093
240, 0.591210782528, 0.000676642230246, 0.244602113962, 0.00120307854377
241, 0.593347072601, 0.000638494675513, 0.244602113962, 0.00123359658755
242, 0.597161829472, 0.00062323565362, 0.244678422809, 0.00121070805471
243, 0.598535120487, 0.000630865164567, 0.244754716754, 0.00107337685768
244, 0.600747704506, 0.000470645463793, 0.245136186481, 0.00122596707661
245, 0.603341698647, 0.000684271741193, 0.245288774371, 0.00122596707661
246, 0.605706870556, 0.000699530763086, 0.245212480426, 0.00121833756566
247, 0.608987569809, 0.000661383208353, 0.245059892535, 0.00117256049998
248, 0.610894918442, 0.00062323565362, 0.245365068316, 0.00117256049998
249, 0.613031208515, 0.000577458587941, 0.245365068316, 0.00123359658755
250, 0.615777850151, 0.000630865164567, 0.245517656207, 0.00126411463134
251, 0.618142962456, 0.000585088098887, 0.245517656207, 0.00118781952187
252, 0.619897782803, 0.00064612418646, 0.245746552944, 0.00115730147809
253, 0.623331069946, 0.000607976631727, 0.245593950152, 0.00125648512039
254, 0.625696182251, 0.000546940544154, 0.245746552944, 0.00123359658755
255, 0.627832472324, 0.000577458587941, 0.246204316616, 0.00126411463134
256, 0.630121290684, 0.000539311033208, 0.246585801244, 0.00119544903282
257, 0.631494641304, 0.00062323565362, 0.246509492397, 0.00119544903282
258, 0.635461986065, 0.000630865164567, 0.24681468308, 0.0012412260985
259, 0.638132274151, 0.000684271741193, 0.24681468308, 0.00125648512039
260, 0.640192270279, 0.000569829076994, 0.24696727097, 0.00114204245619
261, 0.642633736134, 0.000554570055101, 0.24696727097, 0.00115730147809
262, 0.644464790821, 0.000577458587941, 0.247196152806, 0.00121833756566
263, 0.647669196129, 0.000615606142674, 0.247196152806, 0.00121070805471
264, 0.650110602379, 0.000607976631727, 0.247653931379, 0.00124885560945
265, 0.651712834835, 0.000676642230246, 0.247425034642, 0.00117256049998
266, 0.654535770416, 0.00060034712078, 0.247882813215, 0.00120307854377
267, 0.657663822174, 0.000699530763086, 0.248035401106, 0.00128700316418
268, 0.659571230412, 0.00060034712078, 0.248187988997, 0.00121070805471
269, 0.661631166935, 0.000585088098887, 0.248493164778, 0.00125648512039
270, 0.664377808571, 0.000638494675513, 0.248569473624, 0.00117256049998
271, 0.666437804699, 0.000676642230246, 0.24864576757, 0.00124885560945
272, 0.670328855515, 0.000638494675513, 0.24879835546, 0.00124885560945
273, 0.671778440475, 0.000531681522261, 0.24879835546, 0.00130989169702
274, 0.673914730549, 0.00060034712078, 0.249179825187, 0.00123359658755
275, 0.676585018635, 0.00062323565362, 0.249179825187, 0.00122596707661
276, 0.678645014763, 0.000607976631727, 0.249408707023, 0.00134040974081
277, 0.682230889797, 0.000508792989422, 0.24963760376, 0.00130989169702
278, 0.684061944485, 0.000562199566048, 0.250095367432, 0.00127174414229
279, 0.686350822449, 0.000501163478475, 0.250171661377, 0.00128700316418
280, 0.688715934753, 0.000661383208353, 0.250324249268, 0.00124885560945
281, 0.691309988499, 0.000508792989422, 0.250400543213, 0.00119544903282
282, 0.693369984627, 0.000630865164567, 0.250629425049, 0.00123359658755
283, 0.69657433033, 0.000630865164567, 0.250629425049, 0.00119544903282
284, 0.698939502239, 0.000607976631727, 0.251010924578, 0.00117256049998
285, 0.701152026653, 0.000638494675513, 0.251163512468, 0.00125648512039
286, 0.703669786453, 0.000508792989422, 0.251316100359, 0.00121070805471
287, 0.704890489578, 0.0006690127193, 0.251239806414, 0.00122596707661
288, 0.708705246449, 0.000577458587941, 0.25146868825, 0.00124885560945
289, 0.711451888084, 0.000585088098887, 0.251850157976, 0.00114967196714
290, 0.713283002377, 0.000691901252139, 0.251773864031, 0.00126411463134
291, 0.715648114681, 0.000585088098887, 0.251926451921, 0.00115730147809
292, 0.717326641083, 0.000638494675513, 0.252231627703, 0.00122596707661
293, 0.720912516117, 0.000546940544154, 0.252536803484, 0.0012412260985
294, 0.723353922367, 0.000653753697407, 0.252994596958, 0.0012412260985
295, 0.725642800331, 0.000638494675513, 0.252994596958, 0.00124885560945
296, 0.727626442909, 0.0006690127193, 0.253070890903, 0.00127174414229
297, 0.730830848217, 0.000607976631727, 0.25345236063, 0.00120307854377
298, 0.7328145504, 0.000592717609834, 0.253681242466, 0.00128700316418
299, 0.734950780869, 0.000569829076994, 0.253833830357, 0.00123359658755
300, 0.737850010395, 0.000630865164567, 0.254291594028, 0.0012412260985
301, 0.739757359028, 0.000562199566048, 0.254444181919, 0.0013556687627
302, 0.743495821953, 0.000493533967528, 0.254825651646, 0.00140907533932
303, 0.744945466518, 0.000615606142674, 0.255207151175, 0.0012412260985
304, 0.747310578823, 0.000661383208353, 0.255588620901, 0.00133278022986
