Freq.	V(vout)
1.14815362149688e+003	-1.66060509743615e-002 -7.04099337093845e-003
1.17489755493952e+003	-1.59582213103417e-002 -6.60646711394940e-003
1.20226443461741e+003	-1.53317311386225e-002 -6.19741752779554e-003
1.23026877081237e+003	-1.47261987261022e-002 -5.81248319658904e-003
1.25892541179416e+003	-1.41412207884619e-002 -5.45036258945211e-003
1.28824955169313e+003	-1.35763755762285e-002 -5.10981267816802e-003
1.31825673855640e+003	-1.30312257622984e-002 -4.78964745518059e-003
1.34896288259165e+003	-1.25053211342680e-002 -4.48873636887019e-003
1.38038426460288e+003	-1.19982010959510e-002 -4.20600269188021e-003
1.41253754462275e+003	-1.15093969833412e-002 -3.94042183710127e-003
1.44543977074592e+003	-1.10384342010045e-002 -3.69101963475537e-003
1.47910838816820e+003	-1.05848341854766e-002 -3.45687058287175e-003
1.51356124843620e+003	-1.01481162027051e-002 -3.23709608232224e-003
1.54881661891247e+003	-9.72779898692329e-003 -3.03086266649469e-003
1.58489319246110e+003	-9.32340222858554e-003 -2.83738023463602e-003
1.62181009735892e+003	-8.93444791914713e-003 -2.65590029689843e-003
1.65958690743755e+003	-8.56046156053571e-003 -2.48571423817529e-003
1.69824365246173e+003	-8.20097324715945e-003 -2.32615160692333e-003
1.73780082874936e+003	-7.85551862822783e-003 -2.17657843433337e-003
1.77827941003891e+003	-7.52363975803978e-003 -2.03639558843686e-003
1.81970085860997e+003	-7.20488584172678e-003 -1.90503716701787e-003
1.86208713666286e+003	-6.89881388373377e-003 -1.78196893254009e-003
1.90546071796323e+003	-6.60498924608478e-003 -1.66668679169479e-003
1.94984459975803e+003	-6.32298612322063e-003 -1.55871532162567e-003
1.99526231496887e+003	-6.05238793991719e-003 -1.45760634438964e-003
2.04173794466952e+003	-5.79278767850040e-003 -1.36293755076453e-003
2.08929613085403e+003	-5.54378814127341e-003 -1.27431117411482e-003
2.13796208950222e+003	-5.30500215376442e-003 -1.19135271466987e-003
2.18776162394954e+003	-5.07605271409611e-003 -1.11370971425529e-003
2.23872113856832e+003	-4.85657309347037e-003 -1.04105058124164e-003
2.29086765276776e+003	-4.64620689245932e-003 -9.73063465235179e-004
2.34422881531991e+003	-4.44460805749590e-003 -9.09455180828205e-004
2.39883291901947e+003	-4.25144086166766e-003 -8.49950179549554e-004
2.45470891568501e+003	-4.06637985363638e-003 -7.94289569007139e-004
2.51188643150956e+003	-3.88910977823517e-003 -7.42230178090008e-004
2.57039578276885e+003	-3.71932547203429e-003 -6.93543666996209e-004
2.63026799189536e+003	-3.55673173691847e-003 -6.48015680771715e-004
2.69153480392690e+003	-3.40104319448117e-003 -6.05445044983002e-004
2.75422870333815e+003	-3.25198412381636e-003 -5.65643002099443e-004
2.81838293126443e+003	-3.10928828507560e-003 -5.28432487129682e-004
2.88403150312659e+003	-2.97269873095727e-003 -4.93647441036901e-004
2.95120922666636e+003	-2.84196760810612e-003 -4.61132160449749e-004
3.01995172040199e+003	-2.71685595022404e-003 -4.30740682187243e-004
3.09029543251357e+003	-2.59713346452725e-003 -4.02336201125924e-004
3.16227766016836e+003	-2.48257831303055e-003 -3.75790519954630e-004
3.23593656929626e+003	-2.37297688999511e-003 -3.50983529385462e-004
3.31131121482589e+003	-2.26812359674260e-003 -3.27802717417836e-004
3.38844156139200e+003	-2.16782061491450e-003 -3.06142706285057e-004
3.46736850452529e+003	-2.07187767914050e-003 -2.85904815748836e-004
3.54813389233573e+003	-1.98011184997441e-003 -2.66996651445929e-004
3.63078054770099e+003	-1.89234728785820e-003 -2.49331717031901e-004
3.71535229097170e+003	-1.80841502878526e-003 -2.32829048909501e-004
3.80189396320558e+003	-1.72815276225181e-003 -2.17412872372617e-004
3.89045144994278e+003	-1.65140461201000e-003 -2.03012278041008e-004
3.98107170553494e+003	-1.57802092006770e-003 -1.89560917505525e-004
4.07380277804110e+003	-1.50785803431703e-003 -1.76996717147996e-004
4.16869383470332e+003	-1.44077810011684e-003 -1.65261609144216e-004
4.26579518801589e+003	-1.37664885610266e-003 -1.54301278702141e-004
4.36515832240162e+003	-1.31534343445049e-003 -1.44064926630449e-004
4.46683592150960e+003	-1.25674016577875e-003 -1.34505046374714e-004
4.57088189614871e+003	-1.20072238883443e-003 -1.25577214699612e-004
4.67735141287194e+003	-1.14717826507506e-003 -1.17239895235633e-004
4.78630092322634e+003	-1.09600059822768e-003 -1.09454254147570e-004
4.89778819368442e+003	-1.04708665887814e-003 -1.02183987219725e-004
5.01187233627268e+003	-1.00033801411983e-003 -9.53951576890105e-005
5.12861383991361e+003	-9.55660362269284e-004 -8.90560441921176e-005
5.24807460249768e+003	-9.12963372636517e-004 -8.31369982265598e-005
5.37031796370248e+003	-8.72160530321600e-004 -7.76103105576221e-005
5.49540873857620e+003	-8.33168985993672e-004 -7.24500860341830e-005
5.62341325190344e+003	-7.95909410596020e-004 -6.76321263059298e-005
5.75439937337152e+003	-7.60305854909556e-004 -6.31338199627217e-005
5.88843655355584e+003	-7.26285613897480e-004 -5.89340396437956e-005
6.02559586074353e+003	-6.93779095745758e-004 -5.50130456901622e-005
6.16595001861477e+003	-6.62719695507173e-004 -5.13523959379626e-005
6.30957344480188e+003	-6.33043673250998e-004 -4.79348612737592e-005
6.45654229034650e+003	-6.04690036615695e-004 -4.47443465947798e-005
6.60693448007590e+003	-5.77600427658305e-004 -4.17658168380350e-005
6.76082975391976e+003	-5.51719013891324e-004 -3.89852277620548e-005
6.91830970918931e+003	-5.26992383395742e-004 -3.63894611837525e-005
7.07945784384132e+003	-5.03369443897446e-004 -3.39662643906913e-005
7.24435960074984e+003	-4.80801325693322e-004 -3.17041934658231e-005
7.41310241300911e+003	-4.59241288313089e-004 -2.95925602776420e-005
7.58577575029177e+003	-4.38644630802983e-004 -2.76213829036871e-005
7.76247116628685e+003	-4.18968605517958e-004 -2.57813392694745e-005
7.94328234724275e+003	-4.00172335309980e-004 -2.40637237982871e-005
8.12830516164092e+003	-3.82216734001167e-004 -2.24604068798308e-005
8.31763771102664e+003	-3.65064430032001e-004 -2.09637969776224e-005
8.51138038202369e+003	-3.48679693176554e-004 -1.95668052061401e-005
8.70963589956073e+003	-3.33028364218539e-004 -1.82628122192801e-005
8.91250938133738e+003	-3.18077787484071e-004 -1.70456372615560e-005
9.12010839355902e+003	-3.03796746129202e-004 -1.59095092427783e-005
9.33254300796983e+003	-2.90155400082629e-004 -1.48490397057054e-005
9.54992586021428e+003	-2.77125226546325e-004 -1.38591975643754e-005
9.77237220955802e+003	-2.64678962959341e-004 -1.29352854985586e-005
9.99999999999991e+003	-2.52790552332532e-004 -1.20729178970244e-005
1.02329299228075e+004	-2.41435090864508e-004 -1.12680002491328e-005
1.04712854805089e+004	-2.30588777751671e-004 -1.05167098906571e-005
1.07151930523760e+004	-2.20228867107821e-004 -9.81547801574708e-006
1.09647819614318e+004	-2.10333621911326e-004 -9.16097287257465e-006
1.12201845430195e+004	-2.00882269900502e-004 -8.55008406548597e-006
1.14815362149687e+004	-1.91854961340311e-004 -7.97990789143929e-006
1.17489755493952e+004	-1.83232728586080e-004 -7.44773364315068e-006
1.20226443461740e+004	-1.74997447372387e-004 -6.95103081572415e-006
1.23026877081237e+004	-1.67131799757727e-004 -6.48743715762204e-006
1.25892541179416e+004	-1.59619238657977e-004 -6.05474751065385e-006
1.28824955169312e+004	-1.52443953904033e-004 -5.65090338724293e-006
1.31825673855640e+004	-1.45590839761316e-004 -5.27398323658380e-006
1.34896288259164e+004	-1.39045463851089e-004 -4.92219335444372e-006
1.38038426460287e+004	-1.32794037415734e-004 -4.59385939430313e-006
1.41253754462274e+004	-1.26823386872291e-004 -4.28741844028183e-006
1.44543977074591e+004	-1.21120926600644e-004 -4.00141160487539e-006
1.47910838816819e+004	-1.15674632914782e-004 -3.73447711693715e-006
1.51356124843619e+004	-1.10473019167519e-004 -3.48534386759865e-006
1.54881661891247e+004	-1.05505111940996e-004 -3.25282538393225e-006
1.58489319246110e+004	-1.00760428277121e-004 -3.03581420213566e-006
1.62181009735891e+004	-9.62289539039172e-005 -2.83327661386571e-006
1.65958690743755e+004	-9.19011224154885e-005 -2.64424776107732e-006
1.69824365246173e+004	-8.77677953649781e-005 -2.46782705633999e-006
1.73780082874936e+004	-8.38202432315480e-005 -2.30317390711595e-006
1.77827941003891e+004	-8.00501272239566e-005 -2.14950372389761e-006
1.81970085860997e+004	-7.64494818848370e-005 -2.00608419342346e-006
1.86208713666285e+004	-7.30106984612407e-005 -1.87223179942732e-006
1.90546071796323e+004	-6.97265090084187e-005 -1.74730857453074e-006
1.94984459975803e+004	-6.65899711951730e-005 -1.63071906796823e-006
1.99526231496886e+004	-6.35944537804175e-005 -1.52190751484402e-006
2.04173794466951e+004	-6.07336227318519e-005 -1.42035519356221e-006
2.08929613085402e+004	-5.80014279588583e-005 -1.32557795895394e-006
2.13796208950221e+004	-5.53920906329025e-005 -1.23712393944852e-006
2.18776162394953e+004	-5.29000910698408e-005 -1.15457138740556e-006
2.23872113856832e+004	-5.05201571496105e-005 -1.07752667244414e-006
2.29086765276775e+004	-4.82472532498220e-005 -1.00562240827719e-006
2.34422881531990e+004	-4.60765696707620e-005 -9.38515704186918e-007
2.39883291901947e+004	-4.40035125302755e-005 -8.75886532863990e-007
2.45470891568501e+004	-4.20236941079120e-005 -8.17436206880719e-007
2.51188643150956e+004	-4.01329236186021e-005 -7.62885956580735e-007
2.57039578276884e+004	-3.83271983969754e-005 -7.11975602645543e-007
2.63026799189536e+004	-3.66026954742439e-005 -6.64462317045101e-007
2.69153480392689e+004	-3.49557635303511e-005 -6.20119466496671e-007
2.75422870333814e+004	-3.33829152048336e-005 -5.78735532945826e-007
2.81838293126443e+004	-3.18808197505594e-005 -5.40113105947402e-007
2.88403150312658e+004	-3.04462960151893e-005 -5.04067942164036e-007
2.95120922666636e+004	-2.90763057358690e-005 -4.70428087517336e-007
3.01995172040199e+004	-2.77679471332863e-005 -4.39033057823111e-007
3.09029543251356e+004	-2.65184487918334e-005 -4.09733074018898e-007
