Freq.	V(n002)
1.04712854805089e+003	5.91048968043259e-004 -2.43043129744627e-002
1.07151930523760e+003	5.64462398051725e-004 -2.37517111015798e-002
1.09647819614318e+003	5.39071100324714e-004 -2.32116458415492e-002
1.12201845430195e+003	5.14821394846197e-004 -2.26838346356520e-002
1.14815362149687e+003	4.91662007395365e-004 -2.21680011698360e-002
1.17489755493952e+003	4.69543962164273e-004 -2.16638752450218e-002
1.20226443461740e+003	4.48420479129828e-004 -2.11711926495350e-002
1.23026877081237e+003	4.28246875973026e-004 -2.06896950336694e-002
1.25892541179416e+003	4.08980474347071e-004 -2.02191297863848e-002
1.28824955169312e+003	3.90580510304397e-004 -1.97592499141381e-002
1.31825673855640e+003	3.73008048700639e-004 -1.93098139218441e-002
1.34896288259164e+003	3.56225901401343e-004 -1.88705856959585e-002
1.38038426460287e+003	3.40198549124635e-004 -1.84413343896750e-002
1.41253754462274e+003	3.24892066760164e-004 -1.80218343102227e-002
1.44543977074591e+003	3.10274052011520e-004 -1.76118648082526e-002
1.47910838816819e+003	2.96313557215823e-004 -1.72112101692947e-002
1.51356124843619e+003	2.82981024200546e-004 -1.68196595072697e-002
1.54881661891247e+003	2.70248222043598e-004 -1.64370066600364e-002
1.58489319246110e+003	2.58088187608543e-004 -1.60630500869530e-002
1.62181009735891e+003	2.46475168732320e-004 -1.56975927684317e-002
1.65958690743754e+003	2.35384569948202e-004 -1.53404421074633e-002
1.69824365246173e+003	2.24792900631782e-004 -1.49914098330880e-002
1.73780082874936e+003	2.14677725462677e-004 -1.46503119057878e-002
1.77827941003891e+003	2.05017617099318e-004 -1.43169684247748e-002
1.81970085860997e+003	1.95792110968676e-004 -1.39912035371500e-002
1.86208713666285e+003	1.86981662077039e-004 -1.36728453489055e-002
1.90546071796323e+003	1.78567603752112e-004 -1.33617258377428e-002
1.94984459975803e+003	1.70532108230594e-004 -1.30576807676806e-002
1.99526231496886e+003	1.62858149009185e-004 -1.27605496054240e-002
2.04173794466951e+003	1.55529464880571e-004 -1.24701754384662e-002
2.08929613085402e+003	1.48530525579388e-004 -1.21864048948966e-002
2.13796208950221e+003	1.41846498966461e-004 -1.19090880648853e-002
2.18776162394953e+003	1.35463219682783e-004 -1.16380784238162e-002
2.23872113856832e+003	1.29367159207713e-004 -1.13732327570410e-002
2.29086765276775e+003	1.23545397258784e-004 -1.11144110862250e-002
2.34422881531990e+003	1.17985594473254e-004 -1.08614765972565e-002
2.39883291901947e+003	1.12675966314191e-004 -1.06142955696931e-002
