Freq.	V(vout)
5.12861383991361e+002	8.78434980134255e-002 -2.83067161412607e-001
5.24807460249769e+002	8.42228736172328e-002 -2.77721769360791e-001
5.37031796370249e+002	8.07382707056371e-002 -2.72432748305156e-001
5.49540873857620e+002	7.73856555347330e-002 -2.67202387437299e-001
5.62341325190345e+002	7.41610248273608e-002 -2.62032759829599e-001
5.75439937337152e+002	7.10604140437606e-002 -2.56925731680752e-001
5.88843655355584e+002	6.80799048187499e-002 -2.51882971593198e-001
6.02559586074353e+002	6.52156316057404e-002 -2.46905959830873e-001
6.16595001861477e+002	6.24637875690303e-002 -2.41995997511449e-001
6.30957344480188e+002	5.98206297664344e-002 -2.37154215692620e-001
6.45654229034650e+002	5.72824836645003e-002 -2.32381584317102e-001
6.60693448007591e+002	5.48457470283627e-002 -2.27678920985812e-001
6.76082975391976e+002	5.25068932277638e-002 -2.23046899533107e-001
6.91830970918931e+002	5.02624739999654e-002 -2.18486058382150e-001
7.07945784384132e+002	4.81091217092395e-002 -2.13996808662197e-001
7.24435960074984e+002	4.60435511414007e-002 -2.09579442073143e-001
7.41310241300911e+002	4.40625608704611e-002 -2.05234138485774e-001
7.58577575029177e+002	4.21630342329883e-002 -2.00960973269081e-001
7.76247116628685e+002	4.03419399441642e-002 -1.96759924338534e-001
7.94328234724275e+002	3.85963323878875e-002 -1.92630878921556e-001
8.12830516164092e+002	3.69233516115820e-002 -1.88573640038446e-001
8.31763771102664e+002	3.53202230546651e-002 -1.84587932698846e-001
8.51138038202369e+002	3.37842570379324e-002 -1.80673409815411e-001
8.70963589956073e+002	3.23128480394237e-002 -1.76829657837719e-001
8.91250938133738e+002	3.09034737806795e-002 -1.73056202110662e-001
9.12010839355902e+002	2.95536941456779e-002 -1.69352511962538e-001
9.33254300796983e+002	2.82611499531673e-002 -1.65718005528946e-001
9.54992586021428e+002	2.70235616015969e-002 -1.62152054319276e-001
9.77237220955802e+002	2.58387276043827e-002 -1.58653987533151e-001
9.99999999999991e+002	2.47045230318581e-002 -1.55223096134649e-001
1.02329299228075e+003	2.36188978749236e-002 -1.51858636692476e-001
1.04712854805089e+003	2.25798753441517e-002 -1.48559834994504e-001
1.07151930523760e+003	2.15855501169084e-002 -1.45325889445270e-001
1.09647819614318e+003	2.06340865439282e-002 -1.42155974255132e-001
1.12201845430195e+003	1.97237168257214e-002 -1.39049242429796e-001
1.14815362149687e+003	1.88527391682025e-002 -1.36004828568909e-001
1.17489755493952e+003	1.80195159260017e-002 -1.33021851482357e-001
1.20226443461740e+003	1.72224717410574e-002 -1.30099416632765e-001
1.23026877081237e+003	1.64600916832880e-002 -1.27236618412569e-001
1.25892541179416e+003	1.57309193993932e-002 -1.24432542263843e-001
1.28824955169312e+003	1.50335552751497e-002 -1.21686266648865e-001
1.31825673855640e+003	1.43666546159295e-002 -1.18996864879189e-001
1.34896288259164e+003	1.37289258495838e-002 -1.16363406810734e-001
1.38038426460287e+003	1.31191287552989e-002 -1.13784960412177e-001
1.41253754462274e+003	1.25360727215368e-002 -1.11260593213667e-001
1.44543977074591e+003	1.19786150357254e-002 -1.08789373642609e-001
1.47910838816819e+003	1.14456592079491e-002 -1.06370372253013e-001
1.51356124843619e+003	1.09361533305211e-002 -1.04002662854623e-001
1.54881661891247e+003	1.04490884749753e-002 -1.01685323547784e-001
1.58489319246110e+003	9.98349712771313e-003 -9.94174376697271e-002
1.62181009735891e+003	9.53845166526019e-003 -9.71980946577127e-002
1.65958690743754e+003	9.11306286984054e-003 -9.50263908341829e-002
1.69824365246173e+003	8.70647848575162e-003 -9.29014301188564e-002
1.73780082874936e+003	8.31788181682309e-003 -9.08223246724309e-002
1.77827941003891e+003	7.94649036506466e-003 -8.87881954763278e-002
1.81970085860997e+003	7.59155451044958e-003 -8.67981728526842e-002
1.86208713666285e+003	7.25235623164059e-003 -8.48513969285714e-002
1.90546071796323e+003	6.92820786734218e-003 -8.29470180482040e-002
1.94984459975803e+003	6.61845091785511e-003 -8.10841971366989e-002
1.99526231496886e+003	6.32245488631582e-003 -7.92621060187421e-002
2.04173794466951e+003	6.03961615902219e-003 -7.74799276953320e-002
2.08929613085402e+003	5.76935692417811e-003 -7.57368565815848e-002
2.13796208950221e+003	5.51112412833049e-003 -7.40320987084158e-002
2.18776162394953e+003	5.26438846972322e-003 -7.23648718907390e-002
2.23872113856832e+003	5.02864342775226e-003 -7.07344058646765e-002
2.29086765276775e+003	4.80340432767271e-003 -6.91399423961114e-002
2.34422881531990e+003	4.58820743968375e-003 -6.75807353627806e-002
2.39883291901947e+003	4.38260911149691e-003 -6.60560508119637e-002
2.45470891568501e+003	4.18618493347988e-003 -6.45651669956997e-002
2.51188643150955e+003	3.99852893545877e-003 -6.31073743853368e-002
2.57039578276884e+003	3.81925281425712e-003 -6.16819756671097e-002
2.63026799189535e+003	3.64798519104972e-003 -6.02882857203254e-002
2.69153480392689e+003	3.48437089761161e-003 -5.89256315796402e-002
2.75422870333814e+003	3.32807029054911e-003 -5.75933523828078e-002
2.81838293126442e+003	3.17875859260754e-003 -5.62907993051926e-002
2.88403150312658e+003	3.03612526016191e-003 -5.50173354822506e-002
2.95120922666635e+003	2.89987337600887e-003 -5.37723359211034e-002
3.01995172040198e+003	2.76971906659338e-003 -5.25551874022492e-002
3.09029543251356e+003	2.64539094281902e-003 -5.13652883723889e-002
3.16227766016835e+003	2.52662956360824e-003 -5.02020488292713e-002
3.23593656929625e+003	2.41318692139698e-003 -4.90648901994021e-002
3.31131121482588e+003	2.30482594876699e-003 -4.79532452094004e-002
3.38844156139199e+003	2.20132004543860e-003 -4.68665577517290e-002
3.46736850452528e+003	2.10245262486724e-003 -4.58042827454751e-002
3.54813389233572e+003	2.00801667970682e-003 -4.47658859928053e-002
3.63078054770097e+003	1.91781436542419e-003 -4.37508440316752e-002
3.71535229097168e+003	1.83165660136959e-003 -4.27586439853306e-002
3.80189396320557e+003	1.74936268862854e-003 -4.17887834090940e-002
3.89045144994276e+003	1.67075994400194e-003 -4.08407701348966e-002
3.98107170553493e+003	1.59568334948120e-003 -3.99141221139760e-002
4.07380277804108e+003	1.52397521660610e-003 -3.90083672581315e-002
4.16869383470331e+003	1.45548486511317e-003 -3.81230432798930e-002
